SMILES,Title,Actividad,IC50
C[C@@H](C(=O)Nc1cccc(n1)-c1cnc(nc1)N1CCC[C@H]1C(F)(F)F)n1cnc2n(C)c(=O)n(Cc3cc(C)on3)c(=O)c12,BD-40,1,1
COc1ncc(cc1C(F)(F)F)-c1cccc(NC(=O)[C@H](C)n2cnc3n(C)c(=O)n(Cc4cc(C)on4)c(=O)c23)n1,BD-41,1,1
CCOc1ncc(cc1C(F)(F)F)-c1cccc(NC(=O)[C@H](C)n2cnc3n(C)c(=O)n(Cc4cc(C)on4)c(=O)c23)n1,BD-42,1,1
CCC(=O)Cn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3cccc(n3)-c3cnc(OC)c(c3)C(F)(F)F)c2c1=O,BD-43,1,1
CCOc1ncc(cc1C(F)(F)F)-c1cccc(NC(=O)[C@H](C)n2cnc3n(C)c(=O)n(CC(=O)CC)c(=O)c23)n1,BD-44,1,1
C[C@@H](C(=O)Nc1cccc(n1)-c1cnc(C)c(c1)C(F)(F)F)n1cnc2n(C)c(=O)n(Cc3cc(C)on3)c(=O)c12,BD-45,1,1
CCC(=O)Cn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3csc(n3)-c3cnc(nc3)N3CC4CC4C3)c2c1=O,BD-46,1,1
CCC(=O)Cn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3csc(n3)-c3cnc(nc3)N3CCC[C@H]3C(F)(F)F)c2c1=O,BD-47,1,1
Fc1ccc2oc(cc2c1)S(=O)(=O)N1C2CC(C2)[C@H]1C(=O)NCc1cc(c(F)cn1)-c1cnc(nc1)C(F)(F)F,BD-48,1,1.08
Fc1ccc(cc1)S(=O)(=O)N1C2CC(C2)[C@H]1C(=O)NCc1cc(nc(n1)C(F)(F)F)-c1cnc(nc1)C(F)(F)F,BD-49,1,1.18
FC(F)(F)c1ccc(nc1)-c1cccc(CNC(=O)C2CCCN2S(=O)(=O)c2cc3ccccc3o2)c1,BD-50,1,1.2
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-51,1,1.2
Cc1cncc2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(F)cc3)c(=O)c12,BD-52,1,1.2
Fc1ccc2oc(cc2c1)S(=O)(=O)N1[C@H]2C[C@H]2C[C@H]1C(=O)NCc1cc(ccn1)-c1ccc(cn1)C(F)(F)F,BD-53,1,1.2
Cc1cnn2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-54,1,1.2
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-55,1,1.2
FC(F)(F)c1ccc(cc1)-c1cc(CNC(=O)C2CCCN2S(=O)(=O)c2cc3ccccc3o2)ncn1,BD-56,1,1.2
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1cccc(OCc2ccc(cc2)C(F)(F)F)c1,BD-57,1,1.3
FC(F)(F)c1ccc(nc1)-c1ccnc(CNC(=O)C2CCCN2S(=O)(=O)c2cc3ccccc3o2)c1,BD-58,1,1.3
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CC=C[C@H]1C(=O)NCc1cc(ccn1)-c1ccc(cn1)C(F)(F)F,BD-59,1,1.3
Cc1cnn2nc(N)n(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(F)cc3)c(=O)c12,BD-60,1,1.3
Cc1cncc2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-61,1,1.3
Oc1cc(ccc1-c1cc(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3cc(F)ccc3o2)ncn1)C(F)(F)F,BD-62,1,1.4
Nc1nc2ncsc2c(=O)n1Cc1nc(no1)[C@@H]1CO[C@H](C1)c1ccc(Cl)cc1,BD-63,1,1.4
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCC[C@H]1C(=O)NCc1cccc(OCc2ccc(nc2)C(F)(F)F)c1,BD-64,1,1.4
Cc1ccnc2nc(N)n(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(F)cc3)c(=O)c12,BD-65,1,1.4
Cn1c2occ(CC(=O)Nc3nc(cs3)-c3cc(Cl)c(OCC(F)(F)F)c(Cl)c3)c2c(=O)n(C)c1=O,BD-66,1,1.45
Cc1cc(N)nc2ncn(Cc3nc(no3)[C@@H]3[C@H]4CC(=C[C@@H]34)c3ccccc3)c(=O)c12,BD-67,1,1.5
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1cc(ccn1)-c1ccc(nc1)C(F)(F)F,BD-68,1,1.5
